sex,unit,age,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 
F,NR,TOTAL,AL	1425342 bef 	1432833 	1431715 	1423050 	1417141 	1424597 	1430827
F,NR,TOTAL,AL0	1425342 b 	1432833 	1431715 	1423050 	1417141 	1424597 	1430827
F,NR,TOTAL,AL01	399599 f 	404201 	405598 	405835 	406682 	410586 	416084
F,NR,TOTAL,AL011	55402 	57002 	57895 	59837 	61749 	63084 	64941 
F,NR,TOTAL,ALX	0 	0 	0 	: 	: 	: 	: 
F,NR,TOTAL,ALXX	0 	0 	0 	: 	: 	: 	: 
F,NR,TOTAL,ALXXX	0 	0 	0 	: 	: 	: 	: 
F,NR,TOTAL,AT342	153961 	152741 	151846 	150627 	148986 	147427 	146154 
F,NR,TOTAL,BE	5841215 	5810693 	5784371 	5762455 	5741853 	5713206 	5687048 b
F,NR,TOTAL,BE1	621873 	618282 	614177 	611616 	611496 	605416 	600073 b
F,NR,TOTAL,BE10	621873 	618282 	614177 	611616 	611496 	605416 	600073 b
F,NR,TOTAL,BE100	621873 	618282 	614177 	611616 	611496 	605416 	600073 b
F,NR,TOTAL,BE2	3351290 	3331099 	3313318 	3297353 	3280662 	3264030 	3248700 b
F,NR,TOTAL,BE21	942890 	936955 	931849 	926733 	921759 	916658 	911543 b
F,NR,TOTAL,BE211	534038 	530892 	528276 	525904 	523323 	520859 	518447 b
F,NR,TOTAL,BE212	176660 	175413 	174415 	173133 	171714 	170736 	169641 b
F,NR,TOTAL,BE213	232192 	230650 	229158 	227696 	226722 	225063 	223455 b
F,NR,TOTAL,BE22	441541 	439303 	437528 	435961 	434332 	432143 	430222 b
F,NR,TOTAL,BE221	217778 	216637 	215749 	214961 	214079 	212629 	211408 b
F,NR,TOTAL,BE222	120872 	120315 	119853 	119533 	119210 	118622 	118108 b
F,NR,TOTAL,BE223	102891 	102351 	101926 	101467 	101043 	100892 	100706 b
F,NR,TOTAL,BE23	772032 	767064 	762422 	758643 	754237 	749908 	746241 b
F,NR,TOTAL,BE231	149377 	148228 	147093 	146087 	145295 	144587 	143796 b
F,NR,TOTAL,BE232	102780 	102165 	101838 	101483 	101027 	100598 	100281 b
F,NR,TOTAL,BE233	43039 	42769 	42388 	42105 	41877 	41871 	41703 b
F,NR,TOTAL,BE234	284343 	282655 	281128 	280143 	278497 	276192 	274749 b
F,NR,TOTAL,BE235	63035 	62973 	62756 	62521 	62320 	62210 	61967 b
F,NR,TOTAL,BE236	129458 	128274 	127219 	126304 	125221 	124450 	123745 b
F,NR,TOTAL,BE24	588828 	584287 	580092 	576386 	572406 	568478 	565326 b
F,NR,TOTAL,BE241	330126 	327145 	324462 	322327 	319927 	317418 	314880 b
F,NR,TOTAL,BE242	258702 	257142 	255630 	254059 	252479 	251060 	250446 b
F,NR,TOTAL,BE25	605999 	603490 	601427 	599630 	597928 	596843 	595368 b
F,NR,TOTAL,BE251	143660 	143449 	143293 	143194 	142825 	142736 	142384 b
F,NR,TOTAL,BE252	25862 	25754 	25745 	25653 	25527 	25484 	25433 b
F,NR,TOTAL,BE253	53431 	53208 	53218 	53253 	53303 	53399 	53408 b
F,NR,TOTAL,BE254	147795 	147017 	146308 	145784 	145160 	144777 	144305 b
F,NR,TOTAL,BE255	79919 	79594 	79251 	78888 	78730 	78647 	78388 b
F,NR,TOTAL,BE256	77598 	76931 	76323 	75788 	75369 	75003 	74785 b
F,NR,TOTAL,BE257	46524 	46342 	46132 	46055 	45953 	45830 	45753 b
F,NR,TOTAL,BE258	31210 	31195 	31157 	31015 	31061 	30967 	30912 b
F,NR,TOTAL,BE3	1868052 	1861312 	1856876 	1853486 	1849695 	1843760 	1838275 b
F,NR,TOTAL,BE31	209323 	208006 	206773 	205762 	204723 	203060 	201753 b
F,NR,TOTAL,BE310	209323 	208006 	206773 	205762 	204723 	203060 	201753 b
F,NR,TOTAL,BE32	692106 	690579 	689898 	689584 	689295 	688617 	687666 b
F,NR,TOTAL,BE321	44626 	44508 	44421 	44417 	44339 	44137 	43893 b
F,NR,TOTAL,BE322	222202 	221763 	221614 	221653 	222040 	221911 	222003 b
F,NR,TOTAL,BE323	133946 	134003 	133952 	133989 	133855 	134010 	133858 b
F,NR,TOTAL,BE324	39771 	39338 	39218 	39027 	39073 	38712 	38451 b
F,NR,TOTAL,BE325	98582 	98127 	97739 	97528 	97257 	97128 	96754 b
F,NR,TOTAL,BE326	77983 	77942 	78004 	77983 	77857 	77854 	77815 b
F,NR,TOTAL,BE327	74996 	74898 	74950 	74987 	74874 	74865 	74892 b
F,NR,TOTAL,BE33	567742 	566224 	565367 	564187 	563284 	561531 	560363 b
F,NR,TOTAL,PT11	1887621 	1885831 	1883763 	1884788 	1893890 e	1901150 e	1907357 
F,NR,TOTAL,PT111	123807 	124154 	124583 	125296 	126638 e	127537 e	128330 
F,NR,TOTAL,PT112	212471 	212288 	211950 	211996 	212884 e	213103 e	213271 
F,NR,TOTAL,PT119	215504 	215821 	215975 	216491 	217784 e	218283 e	218779 
F,NR,TOTAL,PT11A	916894 	913480 	910200 	908346 	910459 e	913256 e	915496 
F,NR,TOTAL,PT11B	45689 	45835 	46044 	46305 	46914 e	47377 e	47755 
F,NR,TOTAL,PT11C	215901 	216643 	216999 	217670 	218960 e	219700 e	220429 
F,NR,TOTAL,PT11D	100843 	100937 	101142 	101509 	102470 e	103445 e	104287 
F,NR,TOTAL,PT11E	56512 	56673 	56870 	57175 	57781 e	58449 e	59010 
F,NR,TOTAL,PT15	229443 	228977 	229719 	230130 	230045 e	228712 e	228702 
F,NR,TOTAL,PT150	229443 	228977 	229719 	230130 	230045 e	228712 e	228702 
F,NR,TOTAL,PT16	1165927 	1167531 	1174371 	1180650 	1186368 e	1190176 e	1197936 
F,NR,TOTAL,PT16B	186800 	186111 	186405 	186465 	186630 e	186417 e	187044 
F,NR,TOTAL,PT16D	191024 	190477 	190926 	191205 	191430 e	191416 e	192024 
F,NR,TOTAL,PT16E	229763 	230194 	231654 	233027 	234050 e	235170 e	237072 
